AREA;AÑO;UPZ;Total
PASEO DE LOS LIBERTADORES;2020;001;2.636
LA ACADEMIA;2020;002;4.743
GUAYMARAL;2020;003;2.469
VERBENAL;2020;009;126.286
LA URIBE;2020;010;34.328
SAN CRISTOBAL NORTE;2020;011;70.927
TOBERIN;2020;012;61.308
LOS CEDROS;2020;013;129.866
USAQUEN;2020;014;41.769
COUNTRY CLUB;2020;015;25.404
SANTA BARBARA;2020;016;71.469
SAN JOSE DE BAVARIA;2020;017;49.996
BRITALIA;2020;018;90.709
EL PRADO;2020;019;102.564
LA ALHAMBRA;2020;020;41.777
LOS ANDES;2020;021;29.418
DOCE DE OCTUBRE;2020;022;70.278
CASA BLANCA SUBA;2020;023;58.206
NIZA;2020;024;81.374
LA FLORESTA;2020;025;43.922
LAS FERIAS;2020;026;100.990
SUBA;2020;027;176.206
EL RINCON;2020;028;283.353
MINUTO DE DIOS;2020;029;110.704
BOYACA REAL;2020;030;127.864
SANTA CECILIA;2020;031;67.179
SAN BLAS;2020;032;101.914
SOSIEGO;2020;033;43.504
20 DE JULIO;2020;034;79.921
CIUDAD JARDIN;2020;035;25.932
SAN JOSE;2020;036;48.254
SANTA ISABEL;2020;037;43.999
RESTREPO;2020;038;55.540
QUIROGA;2020;039;91.576
CIUDAD MONTES;2020;040;101.210
MUZU;2020;041;58.711
VENECIA;2020;042;137.792
SAN RAFAEL;2020;043;73.044
AMERICAS;2020;044;79.530
CARVAJAL;2020;045;90.196
CASTILLA;2020;046;141.266
KENNEDY CENTRAL;2020;047;94.337
TIMIZA;2020;048;141.465
APOGEO;2020;049;36.587
LA GLORIA;2020;050;95.420
LOS LIBERTADORES;2020;051;76.589
LA FLORA;2020;052;19.145
MARCO FIDEL SUAREZ;2020;053;47.295
MARRUECOS;2020;054;118.359
DIANA TURBAY;2020;055;74.589
DANUBIO;2020;056;54.209
GRAN YOMASA;2020;057;128.635
COMUNEROS;2020;058;96.425
ALFONSO LOPEZ;2020;059;51.083
PARQUE ENTRENUBES;2020;060;1.092
CIUDAD USME;2020;061;25.419
TUNJUELITO;2020;062;40.875
EL MOCHUELO;2020;063;32
MONTE BLANCO;2020;064;6.037
ARBORIZADORA;2020;065;81.550
SAN FRANCISCO;2020;066;70.470
LUCERO;2020;067;159.778
EL TESORO;2020;068;52.339
ISMAEL PERDOMO;2020;069;162.089
JERUSALEM;2020;070;99.537
TIBABUYES;2020;071;288.707
BOLIVIA;2020;072;83.307
GARCES NAVAS;2020;073;166.155
ENGATIVA;2020;074;140.495
FONTIBON;2020;075;135.132
FONTIBON SAN PABLO;2020;076;34.104
ZONA FRANCA;2020;077;61.474
TINTAL NORTE;2020;078;29.270
CALANDAIMA;2020;079;128.285
CORABASTOS;2020;080;56.908
GRAN BRITALIA;2020;081;63.038
PATIO BONITO;2020;082;139.753
LAS MARGARITAS;2020;083;30.545
BOSA OCCIDENTAL;2020;084;199.020
BOSA CENTRAL;2020;085;236.694
EL PORVENIR;2020;086;138.916
TINTAL SUR;2020;087;106.477
EL REFUGIO;2020;088;39.563
SAN ISIDRO - PATIOS;2020;089;16.732
PARDO RUBIO;2020;090;50.573
SAGRADO CORAZON;2020;091;10.807
LA MACARENA;2020;092;12.328
LAS NIEVES;2020;093;17.050
LA CANDELARIA;2020;094;17.611
LAS CRUCES;2020;095;20.917
LOURDES;2020;096;45.379
CHICO LAGO;2020;097;36.688
LOS ALCAZARES;2020;098;42.184
CHAPINERO;2020;099;25.257
GALERIAS;2020;100;37.449
TEUSAQUILLO;2020;101;28.222
LA SABANA;2020;102;39.591
PARQUE SALITRE;2020;103;1.385
PARQUE SIMON BOLIVAR - CAN;2020;104;3.244
JARDIN BOTANICO;2020;105;2.729
LA ESMERALDA;2020;106;39.784
QUINTA PAREDES;2020;107;28.200
ZONA INDUSTRIAL;2020;108;6.356
CIUDAD SALITRE ORIENTAL;2020;109;24.323
CIUDAD SALITRE OCCIDENTAL;2020;110;45.012
PUENTE ARANDA;2020;111;11.647
GRANJAS DE TECHO;2020;112;48.570
BAVARIA;2020;113;39.786
MODELIA;2020;114;43.805
CAPELLANIA;2020;115;17.942
ALAMOS;2020;116;12.049
AEROPUERTO EL DORADO;2020;117;825
